patient,state,FAK,TAZ,MES,AC,OPC,NPC,n_cells
MGH105C,MES,0.31969831442468377,0.8137500264465363,3.0277592729122653,1.0196542870670506,-1.153265926239009,-0.6647337771212825,26
MGH105C,NPC,-0.3605591855256784,-0.06710921606186913,-0.5616912670122741,-0.26810825293562013,1.2371149236212176,2.3075630365560453,6
MGH105C,OPC,-0.03745860091203617,0.2590430166977384,0.09184949042809189,0.6504366399648712,2.0954988608551877,0.39814227462027746,7
MGH105D,AC,0.12430188498033894,0.17438658898748044,0.9744832181348261,3.3093285623799744,0.8653295629624851,-0.25948144635672754,52
MGH105D,MES,0.2718058235612181,0.3669730382205711,2.553248003876763,1.6425905316723997,-0.34391739658266307,-0.9084829561337828,2
MGH105D,NPC,-0.26627003657269394,-0.04326157141839049,-0.5228520049826804,-0.5649513665685453,1.721244617719948,2.6384626459658147,10
MGH105D,OPC,-0.15122694343018037,0.0727540878213735,-0.04524178966377711,0.9676518778669008,2.317454877170548,0.8129661904048173,20
MGH106,AC,0.1650920212416768,0.025908834061934113,1.3749480646665366,2.7463709868417276,-0.23215091097327292,-0.6503024217527774,27
MGH106,MES,0.1683738080558993,0.34192320265077925,2.4737507490863173,0.7946646789139784,-1.1328205958061983,-0.9617946234278026,21
MGH106,NPC,-0.1283226210996508,-0.19584242018974488,-0.5031554496015292,-0.5433220668108647,-0.5540122247872253,2.717908672913909,6
MGH110,AC,0.2649222671716578,0.015131520818091115,0.9157435894977635,2.3376693907594044,0.3158679725512862,0.6562005814626813,10
MGH110,MES,0.19437027221079917,-0.025234909801640407,1.480246560979916,0.006286103492340933,-0.25271675722673537,0.18250865942984812,8
MGH110,NPC,-0.1357516365867218,-0.2801684873000939,-0.17630213336177794,-0.6355679041352008,1.2041014396697283,2.0868260648155426,83
MGH110,OPC,-0.031859166902041346,-0.1804326802747085,-0.13602568075327967,-0.332917022293617,2.214736245031942,1.1308467251525451,179
MGH113,AC,-0.06534444964212101,-0.34514700834110285,0.5365043182919956,2.197294721777332,0.7866385366610221,-0.006892532898113114,124
MGH113,MES,0.28268288163387256,-0.36520794932681,0.9953515436446676,0.26782281885383136,-0.38110295194581806,-0.11648436506546063,23
MGH113,NPC,0.03577422220839392,-0.4134648789154987,0.09810579918084744,0.10657075353355779,-0.26255177404880525,1.6521637745290996,10
MGH113,OPC,-0.10721315803730654,-0.39692567218314956,0.08690391166491628,1.1924672947926453,2.174552967430325,0.4438872121932606,48
MGH115,AC,0.260892709583245,0.42341051068859575,0.903456737930304,2.7293824294037017,-0.3591113097621803,-0.8035054350555807,69
MGH115,MES,0.06643936999556091,0.6270949636739963,1.5936695457895944,0.017660599488802553,-1.6301106178864684,-1.0613217976825426,49
MGH115,NPC,0.4360359884177645,0.7975914505331053,-0.2941709967174708,-0.039962148029042965,0.8194612627476454,1.5181519805788992,1
MGH115,OPC,-0.22922368062411752,0.27650404205711354,-0.4021025961297403,0.42801722986870505,1.7830572878837585,0.7657349987477066,5
MGH121,AC,0.051751031446014194,-0.14080257111952912,0.5646377894769575,2.381368180653121,0.3938156730207736,0.4583523697604952,115
MGH121,MES,0.22961228091846836,-0.07416356412343617,1.5058616217189567,0.39903673855147637,-0.8167550711359544,-0.16746952337141222,26
MGH121,NPC,5.538662315170441e-05,-0.11716967219855763,-0.10451843362495274,0.42714054401051976,0.8981058812013463,1.9886089142573917,46
MGH121,OPC,0.1271798855935534,-0.2977267327991797,-0.18285640956299784,0.2007706796601648,1.8792373732518817,1.0084896556792988,18
MGH122,AC,-0.04830504113497833,0.06999748235827105,0.807321090163809,1.8702554558355167,0.5037896858900786,0.5714691331982613,4
MGH122,MES,0.2453050322042345,1.0396564445770675,2.1473166410548,0.2845967882874892,-1.0452624589448627,-0.22708128934963187,11
MGH122,NPC,-0.15415227928066333,-0.24938071208765736,-0.6103066255023601,-0.8545346719188083,-1.1007761590873746,2.8287752727156836,73
MGH122,OPC,-0.03777044552964748,0.06735672674828243,-0.1608092409655583,0.124836383124781,1.7857482551846653,0.6885014901190997,30
MGH124,AC,0.06447914124224408,0.010106507763488311,0.333883929628081,2.7513873157405087,0.37174466148258317,0.5104172746890357,28
MGH124,MES,0.1676769243002447,0.5678907830553114,2.312008114311136,0.30959230028242474,-1.5652820013916264,-0.6759041474679341,13
MGH124,NPC,-0.37301013841138014,-0.29911256913081485,-0.7617960096885866,-0.7616719284434335,-1.049998276114501,3.10792856215585,200
MGH124,OPC,-0.157531811882242,-0.15187444169752423,-0.38589202339275386,0.6814400906711091,2.012592371890044,0.7748718999958737,47
MGH125,AC,0.04744132225034818,0.5741165426465673,0.15559328928518265,2.96405020411534,0.1903553804199804,0.5632932548373938,11
MGH125,NPC,-0.31171462153876545,-0.14534025171658735,-0.6925481029267342,-0.6539823983909512,0.3387580124408917,2.967829731213384,225
MGH125,OPC,-0.23798081255224016,-0.11185952166035357,-0.594578657047428,0.07784138408175596,2.3412294830276568,1.6423876545027893,75
MGH128CD45neg,AC,-0.1573497809398742,-0.2660571435857416,1.030651398445139,2.6213839329294695,-0.6842452145853923,0.08774799259344025,21
MGH128CD45neg,MES,0.061844953133828116,-0.40561752156913283,1.0765809623862155,-0.09521809707299737,-1.4659294955847164,-0.293080062721173,15
