DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,status,lineage
GDSC1,907313,KS-1,SIDM00555,GBM,158,PF-562271,1.4375,0.876538,-0.422474,null,CNS/Brain
GDSC1,907314,KP-N-YN,SIDM00556,NB,158,PF-562271,3.035759,0.958682,1.073167,intact,Peripheral Nervous System
GDSC1,907317,KYSE-150,SIDM01031,ESCA,158,PF-562271,0.404451,0.831173,-1.389196,intact,Esophagus/Stomach
GDSC1,907318,KYSE-180,SIDM01030,ESCA,158,PF-562271,0.426894,0.827135,-1.368193,intact,Esophagus/Stomach
GDSC1,907319,KYSE-270,SIDM01029,ESCA,158,PF-562271,0.290995,0.825862,-1.495368,intact,Esophagus/Stomach
GDSC1,907320,KYSE-450,SIDM01027,ESCA,158,PF-562271,1.278517,0.906092,-0.57125,intact,Esophagus/Stomach
GDSC1,907321,KYSE-510,SIDM01026,ESCA,158,PF-562271,0.256411,0.829521,-1.527731,null,Esophagus/Stomach
GDSC1,907322,L-428,SIDM00327,UNCLASSIFIED,158,PF-562271,3.313563,0.991314,1.333135,intact,Lymphoid
GDSC1,907323,L-540,SIDM00329,UNCLASSIFIED,158,PF-562271,1.900541,0.949539,0.010837,intact,Lymphoid
GDSC1,907783,LAMA-84,SIDM00346,LCML,158,PF-562271,2.954417,0.975515,0.997048,null,Myeloid
GDSC1,907786,LC-2-ad,SIDM00297,LUAD,158,PF-562271,0.73549,0.854266,-1.079412,null,Lung
GDSC1,907787,LC4-1,SIDM00549,ALL,158,PF-562271,2.168201,0.937725,0.261311,null,Lymphoid
GDSC1,907788,LNCaP-Clone-FGC,SIDM00683,PRAD,158,PF-562271,2.764232,0.961349,0.819074,intact,Prostate
GDSC1,907789,LOUCY,SIDM00342,ALL,158,PF-562271,-0.191126,0.775872,-1.946533,intact,Lymphoid
GDSC1,907790,LoVo,SIDM00839,COREAD,158,PF-562271,1.566003,0.913501,-0.302222,intact,Bowel
GDSC1,907791,LP-1,SIDM00340,MM,158,PF-562271,2.5207,0.986339,0.591178,intact,Lymphoid
GDSC1,907792,LS-123,SIDM00776,COREAD,158,PF-562271,1.883045,0.89422,-0.005536,intact,Bowel
