gene,mean_A,mean_B,delta,p,q,comparison
FERMT2,2825.9471363636367,3259.7045230769236,-433.7573867132869,0.0810308380441471,0.5499117098619352,elig+unmeth vs other
CDK6,2584.367522727273,2120.9119692307695,463.4555534965034,0.10105861130261412,0.5499117098619352,elig+unmeth vs other
CRK,1205.9743863636365,1096.4690923076923,109.5052940559442,0.10630229538660382,0.5499117098619352,elig+unmeth vs other
FOSB,598.6324,448.25234153846156,150.3800584615384,0.11743518394130492,0.5499117098619352,elig+unmeth vs other
TEAD1,1891.974409090909,2014.8630307692306,-122.88862167832167,0.12035668070701686,0.5499117098619352,elig+unmeth vs other
AMOTL2,1137.567159090909,1032.5560615384613,105.01109755244761,0.13261490213446026,0.5499117098619352,elig+unmeth vs other
CDK4,21609.375909090908,7602.806461538461,14006.569447552447,0.14411498395127653,0.5499117098619352,elig+unmeth vs other
CCND1,1874.0249772727273,1851.5265846153848,22.498392657342492,0.1475372880117387,0.5499117098619352,elig+unmeth vs other
CCND2,6732.578409090911,5739.95083076923,992.6275783216806,0.19784770061636225,0.5714005639296944,elig+unmeth vs other
E2F1,533.1007727272728,655.5987846153845,-122.4980118881117,0.20658789872804684,0.5714005639296944,elig+unmeth vs other
RAC1,8985.056136363635,8365.526923076923,619.5292132867125,0.21106167023030142,0.5714005639296944,elig+unmeth vs other
BRD4,1553.7719090909093,1734.1550307692307,-180.38312167832146,0.22021853562836524,0.5714005639296944,elig+unmeth vs other
YAP1,1509.1215454545454,1705.505876923077,-196.38433146853163,0.22490237450469064,0.5714005639296944,elig+unmeth vs other
CDKN1B,1974.4528181818182,1835.9989999999998,138.4538181818184,0.23692218504401963,0.5714005639296944,elig+unmeth vs other
FOSL1,193.66393636363637,238.82352153846153,-45.15958517482517,0.27027647237732055,0.6049070592037873,elig+unmeth vs other
ARPC3,3016.8997727272726,2903.599846153846,113.29992657342655,0.3155670235001711,0.6049070592037873,elig+unmeth vs other
ARPC2,4645.2925000000005,4493.420769230769,151.87173076923136,0.31855431558918024,0.6049070592037873,elig+unmeth vs other
ACTL6A,1116.170477272727,998.6990153846153,117.47146188811178,0.321560066743923,0.6049070592037873,elig+unmeth vs other
FOSL2,902.9998727272726,1043.4743230769232,-140.4744503496505,0.3245842756703249,0.6049070592037873,elig+unmeth vs other
FOS,6153.5098409090915,5641.683369230769,511.8264716783224,0.40267370501540223,0.7178096480709344,elig+unmeth vs other
ITGB5,1979.751409090909,1922.7114769230768,57.03993216783215,0.46425237395391517,0.7613738932844208,elig+unmeth vs other
E2F3,560.2055681818182,624.6214615384616,-64.41589335664344,0.46425237395391517,0.7613738932844208,elig+unmeth vs other
CCND3,1818.9328636363643,1926.3585230769231,-107.42565944055877,0.5307446242935008,0.8369434460012897,elig+unmeth vs other
ILK,3082.6081818181815,3089.3104615384614,-6.702279720279876,0.5636278829337915,0.85587937778835,elig+unmeth vs other
JUNB,2797.1874318181817,2782.466507692308,14.720924125873807,0.610384513874678,0.8629574161676482,elig+unmeth vs other
PTK2,2362.563181818182,2277.2203076923074,85.34287412587446,0.610384513874678,0.8629574161676482,elig+unmeth vs other
TEAD4,170.95643409090908,158.96149076923078,11.994943321678306,0.6410063113946873,0.8760419589060727,elig+unmeth vs other
WWTR1,971.708909090909,934.0608307692307,37.64807832167821,0.6677515375954043,0.8831552594003734,elig+unmeth vs other
E2F2,182.48297499999998,181.62446461538462,0.8585103846153572,0.7178757108397393,0.9149487493511651,elig+unmeth vs other
ARPC4,4272.400227272727,4156.843846153846,115.55638111888038,0.7364221641119134,0.9149487493511651,elig+unmeth vs other
ACTR3,3987.274090909091,4060.380461538461,-73.1063706293703,0.7977142968532361,0.9357655923720616,elig+unmeth vs other
JUND,2256.7388181818187,2149.0706,107.6682181818187,0.8072662653294135,0.9357655923720616,elig+unmeth vs other
JUN,6049.554090909091,6425.246230769231,-375.69213986013983,0.821647837204737,0.9357655923720616,elig+unmeth vs other
ITGAV,6421.074318181819,6325.596307692308,95.47801048951078,0.8602801063492033,0.9532833610896576,elig+unmeth vs other
BRD2,4208.53909090909,4226.571076923077,-18.03198601398708,0.9139314478911023,0.9619254763061748,elig+unmeth vs other
ACTR2,4738.960227272727,4740.397999999999,-1.437772727272204,0.9237359060661073,0.9619254763061748,elig+unmeth vs other
MYC,916.3595227272727,1021.2381384615384,-104.87861573426562,0.9384638793230973,0.9619254763061748,elig+unmeth vs other
CDKN1A,3320.2183409090912,3568.0844769230766,-247.8661360139854,0.977827843612031,0.977827843612031,elig+unmeth vs other
