gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
BCAR1,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.1754303644421653,-0.1285381346903709,0.04689222975179441,0.0016338580803153856,0.0008599828003439931,0.024314154539356907,0.07000841522365041,either
WWTR1,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.37016999717686383,-0.25074134100994583,0.119428656166918,1.1213978393493828e-10,1.999960000799984e-05,0.08976055562409861,0.14908066158551592,either
TEAD1,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.1416822550248108,-0.16625499348679645,-0.024572738461985655,0.3843876183814565,0.6903661926761465,-0.08294361863051639,0.13365915197292622,either
YAP1,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.18012807459286445,-0.2532933065922759,-0.07316523199941144,0.9049876224965913,0.9309013819723605,-0.11741117989103342,0.05653102668689361,either
TEAD2,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.14307864639082415,-0.11054932696549144,0.032529319425332714,0.024586224693784135,0.06641867162656746,-0.002224475098568792,0.07165072670270775,either
TEAD3,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.23171129423625855,-0.2369359749672521,-0.005224680730993553,0.706028094564915,0.5906881862362753,-0.05782367739358531,0.032208253697667916,either
TEAD4,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.14553204622352015,-0.1227641451098421,0.022767901113678046,0.20758644839862317,0.19637607247855043,-0.053454669740133354,0.1235554337250834,either
YAP1,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.24467989496633386,-0.2532933065922759,-0.008613411625942036,0.7538476372959617,0.6989660206795864,-0.04155535244563561,0.026605859304944066,either
TEAD1,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.22094418971500712,-0.16625499348679645,0.05468919622821067,0.0006843024181033376,0.008979820403591928,0.003320596016853149,0.09779610580656552,either
PTK2,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-1.0022147111133062,-0.5345240856847258,0.4676906254285804,0.056242477295108874,0.06097878042439151,-0.13058875447091445,0.9198623157259682,either
PTK2,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.8667090326401823,-0.5345240856847258,0.33218494695545653,0.004272900780666729,0.011819763604727905,0.10886697324586825,0.5170303865170891,either
TEAD3,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.255287796179966,-0.2369359749672521,0.018351821212713892,0.0644190448832479,0.07889842203155936,-0.007225483500418172,0.03625748723568574,either
ITGAV,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.8910550018870624,-0.7467129925088482,0.1443420093782143,0.3195705827284775,0.28151436971260574,-0.5261122942223586,0.7718451645934777,either
TLN1,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.3537586608238992,-0.2679315179474827,0.08582714287641646,0.3357527568053884,0.32993340133197335,-0.2704753697491491,0.533138225490447,either
TEAD4,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.1316306609993306,-0.1227641451098421,0.008866515889488502,0.08758028632292142,0.13049739005219896,-0.00911832300832917,0.03276091387891423,either
TLN1,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.4925812534209075,-0.2679315179474827,0.22464973547342482,0.0002525830200197124,0.001979960400791984,0.08427917809986424,0.3357453912072366,either
VCL,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.5981873393767221,-0.4069815331163276,0.19120580626039446,0.1148557464346938,0.06523869522609547,-0.18086483070911072,0.3421970876095591,either
ITGAV,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-1.0881526871409153,-0.7467129925088482,0.34143969463206714,0.0019344263079397643,0.00041999160016799666,0.09832829792330833,0.4731685013109796,either
FERMT2,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.9263180937605969,-0.7571800470794797,0.1691380466811172,0.4379399642557538,0.35399292014159717,-0.6812922686888672,0.7406265360077687,either
PRMT5,CTRL MTAP-synth-leth,CRISPR,PAN,B_vs_C,30,814,-1.0846919859682997,-0.9774797222182607,0.107212263750039,0.002550376958307228,0.027939441211175777,0.022846169353182955,0.2838224792886378,either
FERMT2,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-1.08261696660358,-0.7571800470794797,0.32543691952410037,0.02947483468556325,0.024459510809783803,-0.03532333456448411,0.6055861871868422,either
ITGB5,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.48890959717581417,-0.3737481631545597,0.11516143402125445,0.009313886178572654,0.055278894422111556,-0.036079295225878216,0.4259161024007029,either
VCL,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.601692092444295,-0.4069815331163276,0.19471055932796738,0.00026994403928860063,0.0006399872002559949,0.0631410895212357,0.31043827868104185,either
ITGB5,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.5939277988285351,-0.3737481631545597,0.22017963567397536,0.09746993957520272,0.11565768684626307,-0.05202030864151003,0.44035953449887233,either
ILK,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.6872056203968155,-0.2110969000600018,0.47610872033681373,0.013653329442803126,0.010679786404271915,0.02259024423245909,0.938556655843666,either
PXN,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.347547842897865,-0.1888148213617627,0.1587330215361023,0.15531726058041848,0.0984980300393992,-0.131499931797521,0.2935123291539755,either
ILK,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.4625651383844107,-0.2110969000600018,0.2514682383244089,0.0010173899750773794,0.0007599848003039939,0.10459811892166582,0.4257321061082891,either
BCAR1,FAK / focal-adhesion,CRISPR,CNS,B_vs_C,4,35,-0.08596362632299734,-0.0972707318549866,-0.011307105531989256,0.5620600357442461,0.5674686506269875,-0.21654103545832148,0.2556589312412432,either
PXN,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.21870376857076745,-0.1888148213617627,0.029888947209004757,0.2416645966020428,0.2719945601087978,-0.04715809294934168,0.1281883060247221,either
WWTR1,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.5782367952457674,-0.2939329342279205,0.28430386101784694,0.029507240033555822,0.035019299614007716,0.05160566683508516,0.4750496337409853,either
WWTR1,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.4759820835707055,-0.2939329342279205,0.182049149342785,0.0024220189489606637,0.007099858002839943,0.026676305529959587,0.2662816467426979,either
TEAD1,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.38211611700921,-0.2117946125634688,0.1703215044457412,0.026224605171973593,0.017179656406871864,-0.023133081855791604,0.41283895774819257,either
YAP1,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.3771125717967227,-0.2240018757883391,0.1531106960083836,0.30375314585840907,0.12289754204915902,-0.22156892003507972,0.34935796336326463,either
YAP1,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.29103730129470107,-0.2240018757883391,0.06703542550636196,0.11837569266758674,0.125157496850063,-0.038786024705545236,0.157555753861413,either
