,CDKN2A,CDKN2B,MTAP,cdkn_null,mtap_null,FERMT2,ILK,ITGAV,ITGB5,LATS1,LATS2,MAT2A,MOB1A,MOB1B,NF2,PRMT5,PTK2,SAV1,STK3,STK4,TEAD1,TEAD2,TEAD3,TEAD4,TLN1,VCL,WWTR1,YAP1,cns
ACH-000404,0.5414777642566031,0.5414777642566031,0.5414777642566031,0,0,-0.9173527976653102,-0.8976380340510892,-0.9538974379170858,-0.3166737931005527,0.4342684487247747,0.1398886443072587,-2.1453725128587826,-0.1960879815500542,0.1721656556232665,0.4805159971106406,-0.6099985572657389,-1.126295522187107,0.4846821551333065,-0.1679801559602332,-0.252162508394546,-0.4190610216271682,0.056550354516822,-0.213982819874077,-0.194304405806396,-0.1505935350139826,-0.6822595348533023,-0.7386970066881307,-0.1241471027673228,0
ACH-000592,0.0131341987320885,0.0131341987320885,0.0131341987320885,1,1,-1.037640644869511,-0.3529829959695582,-1.4777989884944058,-1.4859544305022496,0.0485423826147839,0.2348043955818386,-1.8328760689428572,-0.0097296517963117,-0.004064204100462,0.6285424299761795,-1.330339826528634,-0.4868882257385647,0.1172387527061295,-0.1274172612281031,-0.0784170859623491,-0.4354572833100042,-0.3231690217463839,-0.2862385907167275,-0.1049022786165404,-0.3460521104267059,-0.7046971611598853,-0.4786680187886612,-0.2874225414891228,1
ACH-000498,0.9853512489333198,0.9853512489333198,0.9853512489333198,0,0,-0.2202356468777301,-0.3459432238074387,-0.6519961717508487,-0.4282564969961752,0.0175652627587721,0.0372417305207066,-1.1306988295639868,-0.2871805339125643,0.014967071487703,0.2969557281197752,-1.134636191078529,-0.8614071529533296,-0.1036148256237798,-0.0870912030752791,-0.168807455169116,-0.145370389441654,0.328867974227873,-0.2837484072177327,0.0174856774030746,-0.412923586309656,-0.8596869539605559,-0.1500985718327757,-0.4104054958493465,0
ACH-000562,1.1960270345115351,1.1960270345115351,1.1960270345115351,0,0,-0.5365892883286488,-0.3802668850358918,-0.1059959837110281,-0.3173886538941756,-0.0230170825993671,-0.1029258793592465,-1.299222640639884,-0.105421379062922,-0.3479739614283548,0.2264691557728966,-1.2403886425476278,-0.9505327892415298,0.3382880091199615,-0.0295699153184061,-0.1539637725786469,-0.2504570179832598,-0.214038789792787,-0.4534734047050742,-0.1722256255097239,-0.1526281153565165,-0.4843106316859216,-0.4263528672130527,-0.0441555458015489,0
ACH-001098,1.1110378760210418,1.1110378760210418,1.1110378760210418,0,0,-0.2011462983299754,-0.068593628301895,-0.0678829503220448,-0.0147718915861621,0.0909206171305207,-0.1083330569442047,-2.207321584573665,-0.0740287986559132,0.1570148310443822,-0.0382379467631313,-1.0910464331957253,-0.2915365140676462,0.2308904125684427,-0.2121535276347408,-0.0182517155699716,-0.0534889089610372,-0.3011714851498931,-0.5291335992765633,-0.1991460498976771,0.0580719325885609,-0.1058245308308833,-0.817785028557104,-0.1025540106307567,0
ACH-000896,0.8655535595928247,0.8655535595928247,0.8655535595928247,0,0,-0.2539997894627458,-0.3561618937742954,-0.2296915499406196,-0.439406766250071,0.1346619385497062,0.0021493076897782,-1.6084595098541985,0.0179924060893296,0.1301448610740163,0.2478187184974265,-1.192443406987398,-0.0864136787489253,0.0323834750470253,-0.1206017943394159,-0.2072290239625241,-0.3225357159989332,-0.1503202521147892,-0.2515467497602426,-0.2606589489464294,-0.3047703371680476,-0.39939098431242,-0.4947325900153814,-0.5036631531648068,0
ACH-002119,0.8842725439046941,1.2007043838823366,0.8842725439046941,0,0,-0.1929317622727154,-0.2501203347463167,-0.1610686355473891,-0.1667918829883759,0.1644822721206454,-0.1355741648956105,-0.8301891782017508,0.045227109368293,0.2321048753553681,0.5503458468626491,-1.0590539387628088,-0.1177657759477213,0.0786529217507985,-0.1231247969788314,-0.0215282771794279,-0.0128308433655844,-0.1278387310797257,-0.0549902988846798,-0.0584305876230546,-0.0586714045677963,-0.059856370810451,0.0643655637608756,-0.1731253722418876,0
ACH-001961,1.2545112922622083e-05,9.735107762282159e-10,2.278350731474404e-09,1,1,-0.3005483883352315,-0.8666129933390345,-0.5535643699882185,-0.0919591918590816,0.0909092250223362,-0.2089568467104443,-1.9144911320387483,0.0107635405547431,0.0970996168138525,-0.5871065425156254,-1.1368030089507777,-0.4765682465040205,-0.0080292246420343,-0.3235981677234061,0.008927221529888,0.0339296338940577,-0.1825474054401099,-0.1370820533380175,-0.1352961748581456,-0.2870160609887596,-0.3460589044975905,-0.3554916413162479,0.0475702598927929,0
ACH-000028,0.1240088932069861,0.1576929440524404,0.3158288788723514,1,0,-0.3725905053912471,0.048588064931264,-0.3280055453538804,-0.0763999354396507,0.0983748617691807,-0.3988309236990947,-2.012017294571803,-0.1924233519924433,0.0477069439248563,0.0146350869494448,-1.366958035948462,-0.1237714739868493,0.0145753453064697,-0.0750732665343666,0.0711056399882285,-0.1419083880189164,-0.121479470833317,-0.363802591006084,-0.1430303770564518,0.0075313242752655,-0.2935289175389953,-0.0944482593878763,-0.1458020330352882,0
ACH-000991,0.9956633975120744,0.9956633975120744,0.9956633975120744,0,0,-0.1788601087064082,-0.3881802872090495,-0.267473707429026,-0.3514103911159705,0.0169314247515274,-0.0249859161702248,-1.3638982611766457,-0.227315546329056,-0.09385442527952,0.3091706253279134,-1.2436436003740945,-0.5181681018815333,0.0679997319549885,-0.8279245753490865,-0.1225560056583721,0.1352969505368884,-0.1704476343849095,-0.1576630936156017,0.1119170505638483,-0.2581879841751094,-0.1032323062159007,0.0680385061350183,-0.924428194945876,0
ACH-002228,0.706901936911327,0.706901936911327,0.706901936911327,0,0,-1.105747321472046,-0.7347864301794346,-1.3161516963219304,-0.7975673698211733,0.0494436442362114,-0.1039015476861554,-1.2171794059848555,-0.0998515683200386,-0.1041559151988989,0.3337625672583136,-1.0603167429612537,-0.6095665306381957,0.1245825565594704,-0.1905608705148118,-0.0625095950046482,-0.3523941675105603,-0.1957025466964634,-0.2061733048200921,-0.1946673521246586,-0.5212568290662305,-0.3416360462415752,-0.3594735610093692,-0.4884163267834481,1
ACH-000838,0.8270119035444126,0.8270119035444126,0.8270119035444126,0,0,-0.2115204512017104,9.94456462128368e-05,-0.2619115840295232,-0.0997539509595457,0.1724232001279175,-0.0221010574742356,-1.6249411901536035,0.0467525977972618,0.1361188442304366,0.1421907508536063,-1.0202705898975235,-0.2597147642180318,0.1845469790350717,-0.0569868669059924,-0.0331981799881335,-0.1266238053017929,-0.1170579074204892,-0.0229563444719037,0.0547412527782921,-0.0731791791461592,-0.1444446606980743,-0.1745623887080793,-0.1218880602599302,0
ACH-000798,0.984458980740413,0.984458980740413,0.984458980740413,0,0,-0.2381620719524478,-0.3359964103839017,-0.3260112859384185,-0.2998310519251314,-0.1778750778892043,0.0602292708245453,-1.1531478919676856,-0.0237716340549775,0.1051614045793732,0.5770294740502614,-0.6593402678931048,-0.0614840018396154,-0.0099018377892776,-0.1675170489207025,-0.0211655962514334,-0.1176290091336928,-0.4260059652938942,-0.3881651616671936,-0.1226299040601532,-0.064544522604167,-0.2611672591856752,-0.0871148653025203,-0.4402356754324651,0
ACH-000484,0.9749053062240456,0.9749053062240456,0.9749053062240456,0,0,-0.1797422884491128,0.0173983397433383,-0.5929237532479067,-0.424594056435034,0.0786979006044608,-0.1215747168744155,-1.7491455463459906,0.0518339822863382,0.0802481881593909,0.161292222582452,-0.4437119909613241,-0.1754776601370679,-0.1457189425534346,-0.3703587629613619,-0.0573932310660135,-0.4201241521178379,0.0493927458876912,-0.2220791619640337,-0.1281202522524445,-0.0785296720792705,-0.1796207535392132,-0.2965598718823124,-0.3387928117592931,0
ACH-001654,0.0017944494524174,0.0025099309980813,0.0017944494524174,1,1,-0.3396808313880025,-0.7667323013856469,-0.2028459628970935,-0.1039820780937489,0.098463079079201,0.0487681567126496,-1.6649016815711093,0.0030645984871115,0.0664241159076899,0.4030998225613738,-1.363078870555806,-0.4120934063989516,0.0048734435502201,-0.004076386108673,-0.0253705066143433,-0.0881014353713531,-0.0121134945051976,-0.266600678336045,-0.3213272715097863,-0.5913998165863246,-0.3725505794395661,-0.6593500993970501,-0.0734914766343408,0
ACH-000935,1.0240846696913368,1.0240846696913368,1.0240846696913368,0,0,-0.189069980868105,-0.5014871020037527,-0.6070869199772898,-0.4076828754207285,0.012765317860629,0.448581270057311,-1.2934319464662842,-0.1087019933193236,-0.0523528026631086,1.1328345449451154,-0.4734108100404245,-0.2125521610781598,0.2882755157723636,-0.4274119953134883,-0.0355013606781583,-0.4156978097557259,-0.1007730978052472,-0.2543439890968562,-0.3637882783979255,-0.2024078178395812,-0.3059527598125994,-0.2327529284453844,-0.6923564999632068,0
ACH-000597,1.0460146083467483,1.0460146083467483,1.0460146083467483,0,0,-0.5654489976774679,-0.0635302486882272,-0.7172612462058799,-0.0983283585327139,0.2154995005781045,0.1554303052014934,-1.3788979581977865,-0.1976651778759143,0.1340941407648375,0.7357668468967269,-0.8801760069160578,-0.2522121038967727,0.1412601199750531,-0.5065248377871423,0.1281050196967282,-0.2072915289680847,-0.2817471423081679,-0.2327348596321707,-0.2496064372224456,-0.4425517618317304,-0.2344741151663859,-0.1948828066945818,-0.9353345861915344,0
ACH-001454,9.9077670522648e-10,9.9077670522648e-10,9.9077670522648e-10,1,1,-0.4501529976680317,-0.2806403696463035,-0.7094018748236246,-0.661072776647651,0.1641662212011035,-0.2381089434566209,-2.427946065399702,0.0931441677886076,0.157568105080868,0.2789008962384075,-0.5866129517105974,-0.2141221032045766,-0.048627830327666,-0.237762855765029,-0.0653600346994666,-0.1617710442005793,-0.2649874854464146,-0.2773877485007933,-0.3038122226084478,-0.3645292442883171,-0.4129730891341501,-0.1104532372309393,-0.1970190415011803,0
ACH-001552,0.7925066795485715,0.7925066795485715,0.7925066795485715,0,0,-1.3979513015281235,-0.7037278599100205,-0.9026004707382428,-0.7936447470496601,0.0735326468274011,0.5544103565103412,-0.9778886447172774,0.0099016698954964,-0.0394125894331961,1.3893260047818123,-0.2300501702376356,-1.5725310738295788,0.4294426277423844,-0.3116956606676497,-0.1764653456712947,-0.2682553329029911,-0.0205553137869988,-0.2992293288163701,-0.1479807714758234,-1.2306685500818693,-0.5117920175022329,-0.6638744004014889,-1.260973971771357,0
