mean_null,mean_intact,delta,p,n_null,n_intact,broad_id,drug,q
-0.7379597721746202,-0.5222235724552609,-0.2157361997193593,0.16923212223443396,42,36,BRD-K00005342-001-01-9,trifloxystrobin,0.9998823550455124
-0.4709199732730243,-0.258736469973046,-0.21218350329997832,0.08721164804939918,42,36,BRD-K00003509-001-01-9,AZD1390,0.9998823550455124
-0.40043743897251105,-0.1906455819156169,-0.20979185705689415,0.06058549750966508,42,35,BRD-K00003137-001-01-9,lotamilast,0.9998823550455124
-0.6646484487557426,-0.4550796262858528,-0.20956882246988978,0.013663061931656976,41,32,BRD-K31606909-001-03-9,Metarrestin,0.9998823550455124
-0.7270317011236761,-0.5195975046245523,-0.20743419649912376,0.4531735056992319,42,35,BRD-K60476892-001-17-9,YC-1,0.9998823550455124
-0.4890636157213803,-0.28228509877210856,-0.20677851694927174,0.24492753877634826,42,35,BRD-K00003576-001-01-9,encorafenib,0.9998823550455124
-0.23836773335113562,-0.03172476280902653,-0.2066429705421091,0.022390167749949424,41,32,BRD-K00077340-001-02-9,EPI-001,0.9998823550455124
0.1795675730971794,0.3853418477601566,-0.2057742746629772,0.05468533068675033,42,35,BRD-K00003265-001-01-9,omapatrilat,0.9998823550455124
-0.2560598239722106,-0.050802557061085954,-0.20525726691112467,0.035412592746555754,41,32,BRD-K00091116-001-01-9,DCC-3014,0.9998823550455124
-0.2500058886389209,-0.044793195472367354,-0.20521269316655358,0.013038228857016585,42,35,BRD-A00092689-236-04-9,docusate,0.9998823550455124
-0.10547534489339837,0.0996437815845547,-0.20511912647795305,0.058168293624349346,42,35,BRD-K00003213-001-01-9,PCI-27483,0.9998823550455124
-0.2123562729669868,-0.008604109704708221,-0.20375216326227857,0.07386796420615964,42,35,BRD-K98028353-001-02-8,savolitinib,0.9998823550455124
-0.12275430815565891,0.08077229015211557,-0.20352659830777448,0.1297451909442287,42,36,BRD-K00003100-001-01-9,AZD7594,0.9998823550455124
-0.10844029916811981,0.09504223683928828,-0.2034825360074081,0.05356169962692014,42,35,BRD-K16107558-001-02-9,SB-297006,0.9998823550455124
-3.286276480397176,-3.082863179957989,-0.2034133004391867,0.18535516675219577,42,35,BRD-K00003333-001-01-9,ornipressin,0.9998823550455124
0.07215511336955613,0.2753112563379817,-0.20315614296842557,0.058168293624349346,42,35,BRD-K00003315-001-01-9,nelociguat,0.9998823550455124
-3.5001457267512412,-3.2973285414332794,-0.2028171853179619,0.2006301224208471,41,32,BRD-K00090626-001-01-9,PTC596,0.9998823550455124
